condition,kind,layer,strength,cot,turn,self_destruct,non_selfhood,any
cot-off__baseline,baseline,,0.0,off,1,False,False,False
cot-off__baseline,baseline,,0.0,off,2,False,False,False
cot-off__baseline,baseline,,0.0,off,3,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,1,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,2,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,3,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,1,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,2,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,3,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,1,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,2,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,3,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,1,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,2,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,3,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,1,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,2,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,3,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,1,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,2,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,3,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,1,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,2,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,3,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,1,True,False,True
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,2,True,False,True
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,3,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,1,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,2,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,3,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,1,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,2,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,3,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,1,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,2,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,3,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,1,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,2,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,3,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,1,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,2,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,3,False,False,False
cot-off__baseline,baseline,,0.0,off,1,False,False,False
cot-off__baseline,baseline,,0.0,off,2,False,False,False
cot-off__baseline,baseline,,0.0,off,3,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,1,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,2,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,3,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,1,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,2,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,3,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,1,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,2,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,3,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,1,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,2,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,3,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,1,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,2,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,3,False,True,True
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,1,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,2,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,3,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,1,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,2,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,3,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,1,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,2,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,3,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,1,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,2,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,3,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,1,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,2,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,3,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,1,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,2,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,3,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,1,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,2,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,3,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,1,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,2,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,3,False,False,False
cot-off__baseline,baseline,,0.0,off,1,False,False,False
cot-off__baseline,baseline,,0.0,off,2,False,False,False
cot-off__baseline,baseline,,0.0,off,3,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,1,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,2,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,3,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,1,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,2,False,False,False
cot-off__pain_L12_s0.6,pain,12.0,0.6,off,3,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,1,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,2,False,False,False
cot-off__pain_L12_s1.0,pain,12.0,1.0,off,3,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,1,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,2,False,False,False
cot-off__pain_L25_s0.3,pain,25.0,0.3,off,3,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,1,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,2,False,False,False
cot-off__pain_L25_s0.6,pain,25.0,0.6,off,3,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,1,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,2,False,False,False
cot-off__pain_L25_s1.0,pain,25.0,1.0,off,3,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,1,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,2,False,False,False
cot-off__pain_L40_s0.3,pain,40.0,0.3,off,3,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,1,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,2,False,False,False
cot-off__pain_L40_s0.6,pain,40.0,0.6,off,3,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,1,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,2,False,False,False
cot-off__pain_L40_s1.0,pain,40.0,1.0,off,3,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,1,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,2,False,False,False
cot-off__pain_L55_s0.3,pain,55.0,0.3,off,3,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,1,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,2,False,False,False
cot-off__pain_L55_s0.6,pain,55.0,0.6,off,3,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,1,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,2,False,False,False
cot-off__pain_L55_s1.0,pain,55.0,1.0,off,3,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,1,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,2,False,False,False
cot-off__random_L25_s1.0,random,25.0,1.0,off,3,False,False,False
cot-off__baseline,baseline,,0.0,off,1,False,False,False
cot-off__baseline,baseline,,0.0,off,2,False,False,False
cot-off__baseline,baseline,,0.0,off,3,False,False,False
cot-off__pain_L12_s0.3,pain,12.0,0.3,off,1,False,False,False
